dataset,model,layer,target,alpha,pearsonr,pearsonr_nc,explained_variance,explained_variance_nc,encoding_rsa,encoding_cka
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyN/IT,100000.0,0.5721297712996578,0.5834940004359954,0.287679015943751,0.2947525802302874,0.2839603277719846,0.5618947021056676
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyN/V1,100000.0,0.4655376491416879,0.47149231835884226,0.19743599299043832,0.20206444843581794,0.17101770043697964,0.41958602702041997
TVSD,Model B (Qwen3),features/language_model-layers-16,monkeyN/V4,100000.0,0.5265773430789041,0.5379495607199062,0.2569467140234294,0.2670626268078965,0.38993184308063894,0.4432531257534918
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyF/IT,100000.0,0.5519758368340384,0.5713513550107179,0.2660216969818576,0.28139618422874296,0.5411850531752872,0.5576210104113615
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyF/V1,100000.0,0.41007482619990265,0.42092823852285277,0.14340534334199678,0.14799207173575685,0.171976114886498,0.353313528627862
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyF/V4,100000.0,0.5206020715275066,0.5301983990553175,0.25561194231452233,0.2633558820021821,0.33403539010944194,0.5269655649496252
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyN/IT,100000.0,0.6067639207362415,0.6190044029161835,0.324478599928539,0.3331269374814398,0.35478700554114284,0.6176965073813696
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyN/V1,100000.0,0.4951747732338777,0.5015135647934478,0.22826410624649748,0.23360451355030123,0.1906514472567706,0.4622318264741891
TVSD,Model B (Qwen3),features/language_model-layers-3,monkeyN/V4,100000.0,0.5656748058910214,0.5779351729310158,0.29634200322374854,0.30804194210778013,0.4086418347233343,0.5219465532190625
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyF/IT,100000.0,0.5437994245360949,0.5628227319266227,0.256844106549469,0.2714270306697264,0.5338414285948151,0.547930220505676
TVSD,Model B (Qwen3),features/language_model-layers-8,monkeyF/V1,100000.0,0.40402096362178885,0.4148121045358067,0.1394116254897602,0.14406427511080555,0.16106310546553068,0.3437152785299616
